bad_reviews_size	city	longitude	latitude	state
157	Las Vegas	-115.172557	36.115673	NV
128	Las Vegas	-115.175836	36.095589	NV
115	Las Vegas	-115.1702195	36.1238426	NV
97	Las Vegas	-115.172501	36.1100668	NV
90	Las Vegas	-115.1767584	36.1044875	NV
88	Las Vegas	-115.165047	36.137719	NV
82	Las Vegas	-115.170409	36.1182919	NV
75	Las Vegas	-115.1746425	36.10991462	NV
75	Las Vegas	-115.1746425	36.10991462	NV
73	Las Vegas	-115.1747256	36.09873249	NV
71	Las Vegas	-115.1514119	36.1362847	NV
70	Las Vegas	-115.167686	36.103053	NV
64	Las Vegas	-115.1621756	36.13516356	NV
63	Las Vegas	-115.1675034	36.09980774	NV
54	Las Vegas	-115.1726535	36.11262858	NV
54	Las Vegas	-115.17704	36.107621	NV
54	Las Vegas	-115.1743511	36.09229406	NV
51	Las Vegas	-115.1751638	36.10987566	NV
49	Las Vegas	-115.1710285	36.0993783	NV
48	Las Vegas	-115.186484	36.118699	NV
48	Las Vegas	-115.186484	36.118699	NV
45	Las Vegas	-115.082654	36.1551211	NV
42	Las Vegas	-115.1733166	36.11566972	NV
41	Las Vegas	-115.1761744	36.11585434	NV
38	Las Vegas	-115.171036	36.124474	NV
38	Las Vegas	-115.1696106	36.1155514	NV
38	Las Vegas	-115.1764089	36.11316041	NV
38	Las Vegas	-115.1536602	36.1089964	NV
35	Las Vegas	-115.1688578	36.11942228	NV
35	Las Vegas	-115.1784884	36.1092406	NV
33	Las Vegas	-115.1408463	36.17005539	NV
32	Las Vegas	-115.1723385	36.1101084	NV
32	Las Vegas	-115.1723385	36.1101084	NV
32	Las Vegas	-115.169657	36.121189	NV
31	Las Vegas	-115.1555566	36.14742017	NV
31	Las Vegas	-115.1725885	36.11295248	NV
30	Las Vegas	-115.1699689	36.11293028	NV
30	Las Vegas	-115.1699689	36.11293028	NV
30	Las Vegas	-115.1787758	36.11901826	NV
29	Las Vegas	-115.172623	36.129558	NV
29	Las Vegas	-115.1469053	36.17186413	NV
28	Las Vegas	-115.1694728	36.1239495	NV
27	Las Vegas	-115.198798	36.114209	NV
27	Las Vegas	-115.1712445	36.11788299	NV
26	Las Vegas	-115.16559	36.12688722	NV
23	Las Vegas	-115.15112	36.086338	NV
23	Las Vegas	-115.154112	36.107386	NV
23	Las Vegas	-115.156483	36.142229	NV
22	Las Vegas	-115.1750346	36.1431918	NV
22	Las Vegas	-115.177838	36.092988	NV
22	Las Vegas	-115.163122	36.13361303	NV
21	Las Vegas	-115.1702789	36.12229341	NV
21	Las Vegas	-115.1445082	36.1703001	NV
21	Las Vegas	-115.1969938	36.1263784	NV
