bad_reviews_size	city	longitude	latitude	state
1	Phoenix	-33.6102682	33.6102682	AZ
4	Phoenix	-112.0734243	33.4473359	AZ
3	Phoenix	-112.0124434	33.5091275	AZ
2	Phoenix	-112.258515	33.85217	AZ
1	Phoenix	-112.0315646	33.6711501	AZ
1	Phoenix	-112.0684427	33.6383625	AZ
3	Phoenix	-112.0720114	33.4557075	AZ
6	Phoenix	-111.999963	33.495084	AZ
1	Phoenix	-112.0449114	33.5101676	AZ
2	Phoenix	-112.0475118	33.52265	AZ
1	Phoenix	-112.035636	33.507982	AZ
1	Phoenix	-112.2208861	33.480276	AZ
4	Phoenix	-112.0722832	33.4558709	AZ
2	Phoenix	-111.974484	33.679015	AZ
1	Phoenix	-112.0205287	33.4962555	AZ
2	Phoenix	-112.0989931	33.5813148	AZ
1	Phoenix	-112.062583	33.601202	AZ
2	Phoenix	-111.9863276	33.6002388	AZ
1	Phoenix	-112.1341515	33.6555982	AZ
1	Phoenix	-111.977849	33.494238	AZ
2	Phoenix	-111.9885861	33.5092093	AZ
1	Phoenix	-112.0124727	33.5098759	AZ
1	Phoenix	-112.077889	33.4802381	AZ
2	Phoenix	-112.0202933	33.6405727	AZ
2	Phoenix	-112.1110185	33.6111073	AZ
1	Phoenix	-112.0050862	33.4954475	AZ
2	Phoenix	-111.9763354	33.3195808	AZ
4	Phoenix	-112.0772462	33.4867648	AZ
2	Phoenix	-112.0980631	33.5538282	AZ
4	Phoenix	-112.1116465	33.7129817	AZ
1	Phoenix	-111.9895966	33.4717788	AZ
1	Phoenix	-112.074398	33.4940659	AZ
1	Phoenix	-111.9865351	33.4780567	AZ
1	Phoenix	-112.0372177	33.5092833	AZ
1	Phoenix	-112.0281672	33.67113098	AZ
4	Phoenix	-112.0119403	33.4953259	AZ
1	Phoenix	-112.0653473	33.5194664	AZ
1	Phoenix	-112.030849	33.487276	AZ
1	Phoenix	-111.9878697	33.4552907	AZ
3	Phoenix	-111.9778024	33.6106247	AZ
1	Phoenix	-112.080548	33.510317	AZ
2	Phoenix	-112.0732306	33.3937246	AZ
1	Phoenix	-111.9945819	33.304667	AZ
2	Phoenix	-112.0520629	33.4579361	AZ
5	Phoenix	-112.004239	33.316214	AZ
1	Phoenix	-112.0476668	33.4837225	AZ
1	Phoenix	-111.9763848	33.3488977	AZ
3	Phoenix	-112.0741097	33.4505535	AZ
1	Phoenix	-112.0641072	33.6560729	AZ
1	Phoenix	-112.0628096	33.6075585	AZ
1	Phoenix	-112.0733894	33.51350364	AZ
1	Phoenix	-112.171496	33.461319	AZ
1	Phoenix	-112.0264447	33.4657596	AZ
1	Phoenix	-112.0651774	33.5753082	AZ
2	Phoenix	-112.0474809	33.5369963	AZ
1	Phoenix	-111.9976974	33.43559575	AZ
1	Phoenix	-112.0069893	33.4354634	AZ
1	Phoenix	-112.064765	33.470887	AZ
4	Phoenix	-111.981558	33.304703	AZ
2	Phoenix	-112.11792	33.673322	AZ
1	Phoenix	-111.9863622	33.4531987	AZ
1	Phoenix	-111.9756176	33.67526374	AZ
1	Phoenix	-112.064668	33.59547	AZ
2	Phoenix	-112.0646601	33.5060469	AZ
1	Phoenix	-112.1111089	33.71129063	AZ
8	Phoenix	-112.0263625	33.5090903	AZ
10	Phoenix	-112.0739754	33.4977417	AZ
2	Phoenix	-112.004489	33.480174	AZ
5	Phoenix	-112.064508	33.5313101	AZ
1	Phoenix	-112.0477215	33.6403046	AZ
1	Phoenix	-112.0752666	33.4597501	AZ
1	Phoenix	-111.9798909	33.7977694	AZ
1	Phoenix	-112.1310284	33.6108079	AZ
1	Phoenix	-112.118043	33.578121	AZ
3	Phoenix	-112.0305061	33.67831844	AZ
1	Phoenix	-112.0648001	33.5167259	AZ
1	Phoenix	-112.1507068	33.6102682	AZ
4	Phoenix	-112.0734243	33.4473359	AZ
3	Phoenix	-112.0124434	33.5091275	AZ
2	Phoenix	-112.258515	33.85217	AZ
1	Phoenix	-112.0315646	33.6711501	AZ
1	Phoenix	-112.0684427	33.6383625	AZ
3	Phoenix	-112.0720114	33.4557075	AZ
6	Phoenix	-111.999963	33.495084	AZ
1	Phoenix	-112.0449114	33.5101676	AZ
2	Phoenix	-112.0475118	33.52265	AZ
1	Phoenix	-112.035636	33.507982	AZ
1	Phoenix	-112.2208861	33.480276	AZ
4	Phoenix	-112.0722832	33.4558709	AZ
2	Phoenix	-111.974484	33.679015	AZ
1	Phoenix	-112.0205287	33.4962555	AZ
2	Phoenix	-112.0989931	33.5813148	AZ
1	Phoenix	-112.062583	33.601202	AZ
2	Phoenix	-111.9863276	33.6002388	AZ
1	Phoenix	-112.1341515	33.6555982	AZ
1	Phoenix	-111.977849	33.494238	AZ
2	Phoenix	-111.9885861	33.5092093	AZ
1	Phoenix	-112.0124727	33.5098759	AZ
1	Phoenix	-112.077889	33.4802381	AZ
2	Phoenix	-112.0202933	33.6405727	AZ
2	Phoenix	-112.1110185	33.6111073	AZ
1	Phoenix	-112.0050862	33.4954475	AZ
2	Phoenix	-111.9763354	33.3195808	AZ
4	Phoenix	-112.0772462	33.4867648	AZ
2	Phoenix	-112.0980631	33.5538282	AZ
4	Phoenix	-112.1116465	33.7129817	AZ
1	Phoenix	-111.9895966	33.4717788	AZ
1	Phoenix	-112.074398	33.4940659	AZ
1	Phoenix	-111.9865351	33.4780567	AZ
1	Phoenix	-112.0372177	33.5092833	AZ
1	Phoenix	-112.0281672	33.67113098	AZ
