business_id	bad_reviews_size	city	name	longitude	latitude	state	
business_id	bad_reviews_size	city	name	longitude	latitude	state	
AtjsjFzalWqJ7S9DUFQ4bw	75	Las Vegas	The Cosmopolitan of Las Vegas	-115.174642483	36.1099146155	NV	
3bwxfBvKABepxYWGz3pHXA	1	Las Vegas	China A Go Go	-115.0462282	36.1580626	NV	
6BuCNx2gO_GYiXm2KRdMXQ	4	Las Vegas	24 Seven Cafe	-115.19723	36.115317	NV	
ffVx7PrC2JSfOq_DTW-vZQ	4	Pittsburgh	Verde Mexican Kitchen & Cantina	-79.932625	40.4645439	PA	
MFPk16G7fAxnCKTyfjw8Vw	3	Mesa	Pita Jungle	-111.8718374	33.3935611	AZ	
qcylQLL-fXdFHrdXC2jZFw	1	Tempe	Zuma Grill	-111.939582	33.423991	AZ	
yghonKu_3q4Iu08HbNsyOQ	3	Las Vegas	Chicago Tasty Dogs	-115.1189623	36.0123098	NV	
gq7u9uyOkpLCeh_lxR-WFw	1	Las Vegas	VooDoo Steak	-115.1864851	36.1186984	NV	
IRYj1b1-mlXqABVsl9SoqQ	6	Las Vegas	Tacos El Gordo	-115.1650191	36.1317781	NV	
nZww1gdBAi9HtRKiQHL2qA	1	Las Vegas	California Crab	-115.1186951	36.0161703	NV	
ke3RFq3mHEAoJE_kkRNhiQ	6	Tempe	Lucille's Smokehouse Bar-B-Que	-111.903833	33.433975	AZ	
SNpVV5viJ2aPylP6bkAx8Q	1	Tempe	International House of Pancakes	-111.9359999	33.4143794	AZ	
wOL5PrOe0yG0wWz7aAEoXQ	3	Gilbert	Gordo's Mexican Food	-111.7167354	33.2627025	AZ	
5TBOg9Rf47SECB8gTNGqeQ	1	Pittsburgh	Pizza Sola	-79.9247230442	40.4599178946	PA	
3rwM9fPYPk9qDkEBOhyHbg	6	Las Vegas	Tuscany Hotel & Casino	-115.1599789	36.1136101	NV	
jEl3EMDpkGTaPz-eRA8mgw	1	Charlotte	Energy Cafe	-80.8480002	35.2238222	NC	
i_H_yKtISROjQ4eruSwyPw	1	Tempe	Paradise Hawaiian BBQ	-111.9351556	33.4247212	AZ	
d5NCb9EFgsE4oPlnSXdIgg	1	Las Vegas	Teriyaki Boy Healthy Grill	-115.0784234	36.1731191	NV	
NtizlEdtnJX0tteMdZ-6tw	1	Phoenix	Blimpie Subs & Salads	-112.1507068	33.6102682	AZ	
bwu0cUZfksuu-uzTPrrl2A	15	Pittsburgh	Church Brew Works	-79.9643936157	40.4624290466	PA	
31BSDpbBAfUaul4MVFl9kQ	1	Scottsdale	McDonald's	-111.8872084	33.6549363	AZ	
Xq9tkiHhyN_aBFswFeGLvA	4	Phoenix	The Arrogant Butcher	-112.0734243	33.4473359	AZ	
aj7NCTh1yVAPeaAuwWVydw	1	Charlotte	China Saute	-80.8431267	35.2270869	NC	
NAoOOwQS_SQEPQe6-8zC-g	1	Mesa	Cubs Park	-111.8870309	33.4293525	AZ	
w-RzHsvV05yT2K-JC8DJUA	1	Pittsburgh	Fernando's Cafe	-79.9957164	40.4436254	PA	
cD2VsBOKxygjV7BKbU8SRA	1	Las Vegas	Applebee's	-115.0615651	36.1682808	NV	
TInL9Ll_fd597SeEml0yLw	1	Henderson	Railroad Pass Hotel & Casino	-114.91175	35.9725724	NV	
3GnkK4g6XHL2BbIQ7LhfAQ	1	Las Vegas	Grand China III	-115.2798639	36.3000254	NV	
